Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,Photo_ID,Comments,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight
118,98,I.atropurpurea,KUR,2023-03-08,192,2,72.1,62.0,1.1629032258064516,4470.2,44.702,28.6,12.2,8, - ,,,,,,,,1.0,10.0,483.8,48.38
119,29,I.atropurpurea,KUR,2023-03-01,193,1,54.3,68.7,0.7903930131004366,3730.41,37.3041,29.7,14.6,6.3,100252,"Folded, F cut",8.0,4.0,4.0,,0.0,,,,,
120,30,I.atropurpurea,KUR,2023-03-01,193,2,60.3,58.5,1.0307692307692307,3527.5499999999997,35.275499999999994,,,,100304,"Folded, F cut",,,,,,,,,,
121,31,I.atropurpurea,KUR,2023-03-01,193,3,65.1,54.7,1.1901279707495427,3560.97,35.609700000000004,,,,100556,Not fully open,,,,,,,0.0,0.0,0.0,0.0
122,32,I.atropurpurea,KUR,2023-03-01,193,4,80.0,75.5,1.0596026490066226,6040.0,60.4,29.0,15.7,7.4,100336,F cut,,,,,,,,,,
123,35,I.atropurpurea,KUR,2023-03-01,194,1,72.6,64.9,1.11864406779661,4711.74,47.1174,25.7,13.0,7,103755,,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,36,I.atropurpurea,KUR,2023-03-01,194,2,75.0,69.5,1.079136690647482,5212.5,52.125,28.1,12.9,7.1,103805,,,,,,,,0.0,0.0,0.0,0.0
125,89,I.atropurpurea,KUR,2023-03-08,194,3,70.3,58.7,1.1976149914821124,4126.61,41.266099999999994,24.9,13.1,7.4,121716,,,,,,,,0.0,0.0,0.0,0.0
126,37,I.atropurpurea,KUR,2023-03-01,195,1,62.1,51.1,1.2152641878669277,3173.31,31.7331,28.3,10.8,9,104708,,9.0,6.0,3.0,1.0,,,0.0,0.0,0.0,0.0
127,38,I.atropurpurea,KUR,2023-03-01,195,2,61.7,55.2,1.1177536231884058,3405.84,34.058400000000006,28.9,10.1,8.4,104708,,,,,,,,1.0,14.0,644.4,46.028571428571425
128,90,I.atropurpurea,KUR,2023-03-08,195,3,54.0,48.9,1.1042944785276074,2640.6,26.406,22.6,11.4,8.9,122613,F cut,,,,,,,,,,
129,91,I.atropurpurea,KUR,2023-03-08,195,4,60.4,51.2,1.1796875,3092.48,30.9248,26.1,10.2,8.5,122641,,,,,,,,0.0,0.0,0.0,0.0
130,92,I.atropurpurea,KUR,2023-03-08,195,5,61.3,56.3,1.088809946714032,3451.1899999999996,34.5119,25.6,10.4,8,122657,,,,,,,,0.0,0.0,0.0,0.0
